ID_REF	ORF	Ethanol.0h.1	Ethanol.30min.1	Ethanol.1h.1	Ethanol.4h.1	Ethanol.12h.1	Ethanol.0h.2	Ethanol.30min.2	Ethanol.1h.2	Ethanol.4h.2	Ethanol.12h.2
1769308_at	YKR009C	483.5002676	4718.47236	3955.652502	1299.112149	699.352207	379.3535288	2215.096143	5455.065417	2161.936646	790.6866456
1769311_at	YDL157C	981.7325451	668.6209677	653.5416123	914.4900235	1067.971233	679.0795027	482.0259313	458.1124699	598.1762056	758.9144156
1769312_at	YER059W	105.2759313	184.2803748	180.13597	137.7937885	103.331391	118.8209822	236.260481	215.1605717	166.8352112	162.8608756
1769313_at	YGL059W	1518.41835	845.4961598	851.9669377	1203.457266	326.6484885	1566.937175	756.7080402	872.665426	1332.015626	734.7784154
1769314_at	YDR481C	2451.939021	1503.483857	1351.460787	1318.241988	1130.49454	2269.786817	1583.931961	1304.639364	1370.197514	1062.442571
1769317_at	YML113W	243.6429634	128.3446747	148.9781883	195.6284305	225.9158509	263.8421316	98.96684277	94.70639358	166.68353	150.3294279
1769319_at	YIL157C	301.365217	848.8095243	775.635687	556.4181048	641.6208497	287.9716029	819.4066777	821.014055	635.9564599	633.4807298
1769320_at	YPR003C	175.7246754	293.2783368	311.5971706	155.5179827	145.8804548	228.7580742	431.4125204	428.6866456	208.9780672	97.03429597
1769321_at	YNR074C	454.4928018	174.4863046	222.0683202	211.6966612	189.7544246	419.1247893	145.6625263	135.126048	146.9235161	110.917968
1769322_s_at	YLR154C-H	66.7357809	182.7015713	180.1344052	126.2102714	221.0852782	53.75833124	107.8441622	119.3249298	122.8908517	184.9242405
1769323_at	YKL012W	441.0739213	301.6038967	307.8238137	292.382834	292.7565068	432.2755327	323.9265068	333.5078733	346.3782512	258.6009644
1769324_at	YJL147C	294.9397495	137.5536511	123.1245547	175.3011979	137.9578739	223.896569	118.3385496	135.7891511	179.4156549	161.9009313
1769325_at	YDL216C	117.8336058	126.0789398	118.7159098	98.09171869	89.9713554	88.04378846	121.1322755	143.4985693	102.5373001	88.06187269
1769329_at	YNL320W	308.5720814	143.4254988	137.5475756	166.7129024	249.115217	277.6580939	156.8895829	162.0437885	170.0759989	207.3389851
1769331_at	YHL007C	681.4330502	412.4546541	440.8851743	726.5173407	797.0919679	1025.719595	485.4752554	454.5041224	642.5955116	763.365217
1769333_at	YPL223C	157.0479101	1571.796358	1567.385876	463.0190796	1040.369736	64.03096394	437.5111819	845.658566	333.8509614	1317.0349
1769335_at	YKL138C	193.9009313	554.5080742	507.9901841	556.6261955	800.132771	219.0269781	679.5608788	678.5987625	563.0714005	704.9168779
1769336_at	YNL126W	85.09846033	89.96704989	102.4417791	71.7790757	125.5655575	106.7369871	75.14050745	122.3103492	68.95567052	97.28821958
1769338_at	YKL055C	59.32322459	20.90877048	21.00991025	34.60967428	16.13956881	89.61049008	26.4886457	31.76941529	36.173195	32.55089675
1769339_at	YML035C	505.2215076	647.3790853	552.5403139	462.5302605	677.6421562	578.4664394	763.4995799	705.67213	525.9243444	631.5625955
1769341_at	YER087C-B	1037.219401	778.5964903	828.9748975	830.4756431	991.7937885	973.615217	712.3291492	666.7947838	780.0035266	834.9082219
1769342_at	YIL160C	20.95940851	3372.72854	3005.65537	431.587541	102.2808235	6.704968228	1202.329503	3442.400931	848.1509313	81.33237646
1769344_at	YLR050C	219.9366456	326.9392153	338.210684	215.9723599	333.0080742	149.7569739	204.338105	265.3913259	212.365217	277.8061346
1769345_at	YOR037W	193.9249632	190.3552712	165.2254608	161.8106384	193.1743787	161.184697	185.7292717	160.4601406	161.3257353	177.7184259
1769346_at	YOL008W	165.1268707	95.2696488	109.7383881	112.67019	107.2214925	129.4944636	106.1023007	118.4243012	115.3528318	108.9366456
1769349_s_at	YOR072W-B	53.47483989	27.47814938	33.31456131	27.51987153	46.2223604	34.82807468	27.61995798	22.98469637	26.56572324	23.81556426
1769350_at	YPL253C	148.6021408	113.0307429	93.40113145	71.74768198	145.1175401	190.5528076	109.7223599	129.2214425	63.45467228	77.26658797
1769352_at	YDL048C	627.5233736	112.4625391	127.615217	93.05309339	247.6048198	1142.823927	179.4804534	126.7279219	129.7018918	646.7085187
1769356_at	YDR056C	375.2658637	551.2737944	627.8116456	529.2208006	579.8015497	323.2723721	592.1752638	554.4572489	537.7960733	560.5464228
1769358_at	YNL083W	193.9009313	175.0572703	154.7356904	136.4611227	218.5484139	186.4514448	180.6583665	156.7223599	136.1509313	150.0574011
1769359_at	YCR081W	166.8003204	114.1321635	89.06679589	81.93335645	93.42280008	264.9071983	150.7524018	138.6320674	78.41608605	78.05149174
1769361_at	YDL159W	271.2730379	391.9424607	376.4832671	280.055071	287.2911993	246.5918773	333.7027629	356.0811856	242.2675723	168.6866456
1769362_at	YCR024C-B	2484.516659	1311.873652	1225.227232	1431.555204	2596.010274	2473.49244	1157.830371	1117.366321	1356.643453	2457.161594
1769365_at	YPL154C	3021.121242	6834.400931	6838.44024	4445.565935	3657.852839	2406.38501	6705.169896	6699.733362	4736.896568	3613.804899
1769366_at	YDR020C	131.3078143	24.61345147	41.11011122	82.97235989	78.90017082	120.062334	38.61090223	33.85389459	70.33184004	63.08963947
1769368_at	YOR290C	737.3138775	932.878582	903.5080742	774.4152197	862.2580742	1101.009403	1087.17064	1141.794544	902.1509313	856.9723599
1769371_at	YGR267C	3133.633761	2027.615217	2029.722563	2484.220083	1667.723283	3118.973367	1791.677152	2061.367266	2446.740217	1682.055024
1769373_at	YNL216W	248.8288794	223.2156312	191.1005331	234.1461893	274.1033684	281.5065304	205.6144269	150.9551148	158.4099971	174.1228611
1769374_at	YFL034C-B	231.2176861	162.6125084	183.0175699	168.7031684	215.2731644	261.6866456	178.6122094	207.8131807	220.9019122	205.4153133
1769375_at	YEL031W	1007.793788	1062.704329	911.6576349	1060.25708	1316.560865	1296.277087	1262.299951	1106.444716	1078.731968	1173.659062
1769377_at	YBR238C	85.19159309	8.859933588	16.98901411	35.60157403	55.13126146	154.2580899	19.36186609	13.385035	29.4405412	31.90600714
1769378_at	YFL045C	814.91006	1057.532096	1042.38688	993.4700524	1771.113929	881.6294631	1010.776072	1017.562688	984.8205153	1775.043788
1769379_at	YGL222C	220.7009847	379.6128082	335.4313573	305.3569648	241.8930265	244.2105715	450.6330742	439.7559383	343.8908998	210.1702653
1769383_at	YIR021W	198.8529648	174.9812936	179.8451004	245.0327977	353.6763866	161.739468	162.8319944	147.476832	160.6368264	228.6251958
1769384_at	YHR014W	9.67724905	8.516418994	11.21468629	9.345891227	14.61457729	4.298355452	5.101796346	8.10100236	7.735890199	9.832277865
1769385_at	YEL006W	515.6290405	374.4536594	325.1432752	302.7441048	418.7314216	594.2200214	387.5318219	416.865217	373.7303722	325.2649988
1769387_at	YDL029W	904.047319	1532.549182	1402.615217	1140.086799	1323.093021	643.6963943	1588.246179	1436.396238	1106.797384	1128.523301
1769388_at	YLR401C	270.0348762	37.70351593	44.58226419	171.7642944	271.1722442	295.3466454	39.4966148	22.60900452	121.9962895	181.4611585
1769390_s_at	YDR447C	3196.186646	1624.427486	2097.994271	2998.703418	875.4160471	3570.400931	1773.214163	2094.365217	3071.936646	3309.492868
1769392_at	YOR192C-C	279.7223599	360.1805043	331.3739264	356.4790216	408.2445487	299.3847563	244.455007	312.5502384	293.5159834	330.4743734
