UP-DN	Condition	Tag	PPI.long	PPI.short	Gene.1	Gene.2	ORF.1	ORF.2	AUC	guide.RBD2.1	guide.RBD2.2	guide.RBD2.3	guide.RBD2.ATC.1	guide.RBD2.ATC.2	guide.RBD2.ATC.3	FC.avg	FC.rep1	FC.rep2	p.val	q.val
uptag	CRISPRi [RBD2]	TM_1345	MET3_F1::MET3_F3	MET3:MET3	MET3	MET3	YJR010W	YJR010W	51.972	11.888312	11.70711464	11.84900104	11.8103708	11.65396464	11.78977815	-0.063438027	-0.004438424	-0.160844581	0.401270671	0.986390772
uptag	CRISPRi [RBD2]	TM_3728	IMD3_F1::IMD4_F3	IMD3:IMD4	IMD3	IMD4	YLR432W	YML056C	110.864	5.139551352	9.763212367	9.391386813	9.763212367	8.572763377	9.516487981	1.186104397	1.665162189	0.474713199	0.390731643	0.986390772
uptag	CRISPRi [RBD2]	TM_3802	OLE1_F1::OLE1_F3	OLE1:OLE1	OLE1	OLE1	YGL055W	YGL055W	112.204	11.57761765	11.47802803	11.23024065	11.56814614	11.46881069	11.63465982	0.128576773	0.139517366	0.040181913	0.251928749	0.986390772
uptag	CRISPRi [RBD2]	TM_3747	MUP1_F1::MUP1_F3	MUP1:MUP1	MUP1	MUP1	YGR055W	YGR055W	107.518	12.03330828	12.03830173	11.74139676	11.92239857	12.09735182	12.03016132	0.078968314	-0.015270352	0.159682895	0.453611261	0.986390772
uptag	CRISPRi [RBD2]	TM_4013	PIS1_F1::PIS1_F3	PIS1:PIS1	PIS1	PIS1	YPR113W	YPR113W	97.507	11.41357504	11.12084265	11.23621356	11.43887847	11.31937106	11.08805942	0.025225898	0.182001383	0.062493973	0.836166683	0.988132536
uptag	CRISPRi [RBD2]	TM_1337	HOM3_F1::FPR1_F3	HOM3:FPR1	HOM3	FPR1	YER052C	YNL135C	NA	12.01463658	12.24340211	12.08198267	12.04794184	12.23887242	12.22247293	0.056421945	-0.06539861	0.125531971	0.524364825	0.986390772
uptag	CRISPRi [RBD2]	TM_1133	RBD2_F1::RBD2_F3	RBD2:RBD2	RBD2	RBD2	YPL246C	YPL246C	95.643	11.48636578	11.5966712	11.82556835	12.00266268	11.57541319	11.62464317	0.098037903	0.366460902	-0.060788587	0.523411242	0.986390772
uptag	CRISPRi [RBD2]	TM_3886	YNK1_F1::YNK1_F3	YNK1:YNK1	YNK1	YNK1	YKL067W	YKL067W	102.553	11.93469832	12.08117272	12.04652153	11.94825771	12.03330828	11.80727441	-0.091184055	-0.072539811	0.012510757	0.267095701	0.986390772
uptag	CRISPRi [RBD2]	TM_3805	ARF1_F1::HXT1_F3	ARF1:HXT1	ARF1	HXT1	YDL192W	YHR094C	95.749	11.27699674	10.69508326	10.98719294	5.01346226	10.72343342	11.00159585	-2.073593805	-5.972962054	-0.262990897	0.254842421	0.986390772
uptag	CRISPRi [RBD2]	TM_0659	SRV2_F1::SRV2_F3	SRV2:SRV2	SRV2	SRV2	YNL138W	YNL138W	93.776	11.66601683	11.83711541	11.69024539	11.34196352	11.35727707	11.67485431	-0.273094243	-0.389162359	-0.373848801	0.044477469	0.986390772
