ORF	GENE	Ethanol.0h.1	Ethanol.0h.2	Ethanol.30min.1	Ethanol.30min.2	Ethanol.1h.1	Ethanol.1h.2	Ethanol.4h.1	Ethanol.4h.2	Ethanol.12h.1	Ethanol.12h.2	DMSO.1	DMSO.2	FK506.1	FK506.2	Doxo.1	Doxo.2	Atorvastatin.1	Atorvastatin.2	X1181.0519.1	X1181.0519.2	H2O.1	H2O.2	NaCl.1	NaCl.2	Amino.Acid.1	Amino.Acid.2	High.Temperature.1	High.Temperature.2	FeSO4.1	FeSO4.2	H2O2.1	H2O2.2	Sorbitol.1	Sorbitol.2
YKR009C	FOX2	539.3665813	419.8873249	5002.272917	2413.939105	4288.108286	5870.260128	1429.607997	2332.964093	800.8820482	863.8758578	629.2582107	633.0436827	614.8388736	598.063628	316.6380228	344.1619643	594.0817401	638.8711323	671.0541567	711.9420255	674.2457194	735.3883138	857.1320821	782.1552695	432.0610541	445.5817401	581.8650808	570.8396175	691.6552695	655.4580564	361.9629187	374.0175336	649.8756616	659.7311613
YDL157C	---	1071.503681	730.7198523	714.0165488	506.3090184	697.9567904	481.0229166	943.5922433	626.4205256	1157.097132	786.6658582	327.0455303	313.3302986	396.3345312	385.8202397	763.8421132	797.6076231	352.9685815	345.2622761	380.8516409	381.8510482	318.6684324	315.8309727	497.7766056	423.8885744	709.5289402	712.9640931	551.5680571	579.2151883	365.5470809	345.3721776	931.4547063	963.5677731	384.6219142	349.4746865
YER059W	PCL6	118.5470372	139.3022843	208.0612499	273.5679387	196.3007019	235.0671845	152.2876225	188.0883284	112.916315	177.3830097	307.9084732	297.152139	262.9991632	261.4999999	198.8299722	194.4382969	280.2014223	273.917958	266.3758578	298.6769001	308.9640931	316.4977158	295.4335143	314.7243929	250.645229	245.4199754	227.2141849	230.5611091	308.4823196	298.5506603	181.3694621	175.8605357	263.7414435	288.9402542
YGL059W	PKP2	1629.728158	1669.168015	910.5343197	850.2604558	928.156095	930.2772803	1297.179794	1432.418278	352.4122802	807.5025743	884.3455019	890.0165627	809.5998377	887.6846813	926.9301596	905.2644429	908.4640931	953.2500495	973.7404859	938.5925573	904.9174621	940.3957157	819.8573084	870.9924928	399.3163923	398.8018496	795.200049	849.4729762	918.2148229	892.0827523	443.5436135	443.020344	784.6043046	816.3991974
YDR481C	PHO8	2807.317034	2592.148799	1695.439677	1785.010814	1520.859656	1442.964708	1438.08236	1501.054799	1306.216752	1169.372034	1112.527488	1233.307753	1228.669561	1212.445331	1730.119568	1774.609607	1187.382819	1221.221182	1081.154291	1003.494845	1209.379019	1267.272917	984.9794869	986.7961788	1359.433948	1446.675708	1104.828193	1127.938114	1341.109268	1422.5124	1234.040892	1133.29113	1216.406281	1183.55267
YML113W	DAT1	248.4262182	257.8970952	126.7775038	97.81814341	146.3323297	96.95195221	199.2381694	171.1226522	229.8231322	146.3479484	64.33155054	72.5058834	74.10282904	67.74238112	107.0590309	117.1903165	75.19726795	67.55396307	64.39856824	63.14056366	59.70985261	64.93335761	54.43718254	58.3085151	51.19347653	44.96844636	226.6699754	216.9640436	73.35062453	69.63666356	114.9194667	100.1838245	78.81197421	77.00307971
YIL157C	COA1	337.6636415	319.4188189	953.2694868	922.6327803	872.6258578	915.4890004	628.7109289	707.7148278	719.3281394	719.7480757	493.5174936	497.1271226	482.7862475	442.2525537	614.4508098	568.4653205	479.7024787	484.3220844	491.3881116	516.2576907	507.8758578	508.8518325	731.5493322	605.7784285	875.6258578	869.405351	343.3891389	339.6986484	565.2999882	563.7881151	540.0909018	522.5445328	523.6997534	488.175512
YPR003C	---	196.650172	252.0817401	334.8766537	494.2124299	349.6846813	467.136017	184.3903565	222.3367662	162.9499236	110.8329887	158.2510154	156.7012809	171.0621939	163.0502604	116.8062728	118.626199	149.8467137	143.9891611	152.4465798	159.9190102	167.4913039	158.5863768	212.1881251	182.7027022	242.4493872	228.4031257	129.6896645	132.9069431	186.2807167	174.1880971	165.148534	165.4424446	164.1136955	175.3015746
YNR074C	AIF1	525.9921391	485.1526166	198.6535953	170.7397682	255.5035139	155.8627335	243.2673681	175.3008764	219.9859352	128.969179	260.161784	278.7777024	260.9726108	243.4046347	367.9204138	378.5221327	257.1631555	253.6766328	264.3849629	259.7149719	270.9147059	283.6620536	278.6364811	220.5095816	296.9775657	264.8758578	222.8733182	203.4142267	256.2127937	245.2567876	684.3462469	625.2162774	239.79487	244.5860155
YLR154C-H	---	73.97046977	59.51990203	197.0262087	116.1244946	200.7427321	121.0523284	133.4562081	132.5141323	257.0896162	190.264302	55.35789589	65.13964039	59.61775546	54.53267053	68.33251237	91.53234338	49.51723166	44.16353453	49.51723166	49.94736967	59.40526956	67.98666666	116.9145198	117.9483761	191.5858278	205.4154476	118.987901	109.9983511	112.0802482	127.6958021	96.86787943	120.3533626	118.1414364	90.44168493
