Gene ID	Kinase ID
YGL035C	YDR477W
YJL187C	YBR160W
YPL140C	YHR030C
YJL187C	YMR001C
YLL043W	YLR113W
YOL001W	YPL031C
YGR233C	YPL031C
YFR034C	YPL031C
YDR477W	YER129W
YIR006C	YIL095W
YAR007C	YBR136W
YLR079W	YBR160W
YOR083W	YBR160W
YLR113W	YLR248W
YLR248W	YLR113W
YBR133C	YKL101W
YBR160W	YJL187C
YMR001C	YBR160W
YGL003C	YBR160W
YDL101C	YPL153C
YGL180W	YKL166C
YDL003W	YMR001C
YKL042W	YDL028C
YBL007C	YIL095W
YDR388W	YPL031C
YLR006C	YDL235C
YDR379W	YBR160W
YFL033C	YHR205W
YER174C	YGR262C
YGL180W	YPL203W
YGL180W	YJL164C
YNL068C	YBR160W
YGR086C	YDR490C
YJL076W	YBR160W
YOR372C	YBR160W
YBR156C	YPL209C
YBR182C	YLR113W
YDR130C	YBR160W
YPL153C	YMR001C
YOR231W	YHR030C
YAL040C	YBR160W
YBR160W	YFL029C
YDR113C	YBR160W
YPL089C	YHR030C
YML058W	YDL101C
YPL269W	YBR160W
YGR092W	YAR019C
YDL140C	YDL108W
YGR086C	YOL100W
YDL225W	YBR160W
YDR217C	YPL153C
YPL248C	YPL042C
YDR379W	YPL031C
YDR507C	YKL048C
YJL141C	YJL164C
YBL032W	YHR135C
YER027C	YDR477W
YFL033C	YPL031C
YJR053W	YOR233W
YOR026W	YGR188C
YLR113W	YJL128C
YNL161W	YHR102W
YDR432W	YMR216C
YDL140C	YPL042C
YKL108W	YBR160W
YNL027W	YPL204W
YKL022C	YBR160W
YDL225W	YDR507C
YER118C	YJL128C
YJL187C	YNL298W
YNL167C	YLR113W
YKL052C	YBR160W
YDR293C	YNL161W
YIL033C	YPL203W
YNL233W	YPL031C
YDL140C	YPR161C
YCL063W	YBR160W
YNL027W	YJL164C
YJL194W	YBR160W
YLR258W	YPL031C
YNL053W	YHR030C
YPR007C	YMR001C
YKR038C	YGR262C
YLR079W	YOR061W
YIL033C	YJL164C
YJR094C	YMR139W
YEL032W	YBR160W
YGL116W	YJL164C
YGL116W	YPL203W
YLR442C	YHR030C
YLR182W	YPL153C
YBL084C	YBR160W
YMR186W	YJL187C
YHR084W	YPL042C
YER111C	YHR030C
YBR200W	YBR160W
YIL106W	YGR092W
YPR185W	YJR066W
YHR071W	YPL031C
YOR140W	YPL203W
YJL095W	YBL105C
YPL004C	YOL100W
YPL004C	YDR490C
YLR263W	YOR351C
YOR058C	YPL209C
YPL153C	YBR136W
YDR356W	YBR160W
YBR200W	YNL298W
YIL033C	YKL166C
YJL128C	YNR031C
YLR131C	YNL161W
YDR422C	YDR477W
YHR107C	YNL298W
YKL139W	YFL029C
YPR185W	YKL203C
YJL128C	YLR113W
YLR423C	YGL180W
YCR088W	YIL095W
YLR113W	YKL101W
YKL101W	YLR113W
YHR030C	YJL095W
YKL126W	YDR490C
YAL047C	YMR001C
YCR002C	YNL298W
YGL003C	YMR001C
YOR057W	YIL035C
YJL106W	YFL029C
YKL038W	YKL166C
YDR028C	YDR477W
YHR118C	YBR160W
YPL153C	YDL101C
YDR507C	YBR160W
YKL042W	YBR160W
YJL157C	YBR160W
YER040W	YDR477W
YCL032W	YLR113W
YKL126W	YNR047W
YLR079W	YJL106W
YHR030C	YPL140C
YJL089W	YDR477W
YDL005C	YPL042C
YGL208W	YDR477W
YLR182W	YHR030C
YER027C	YER129W
YCL011C	YMR216C
YML010W	YPR161C
YDL108W	YFL029C
YHR206W	YDL235C
YDL220C	YBR160W
YJR094C	YJL106W
YJL013C	YPL209C
YOR174W	YDL108W
YPL153C	YBR160W
YHR166C	YBR160W
YIL072W	YOR351C
YMR199W	YBR160W
YFL034C-B	YNL161W
YER028C	YDR477W
YLR079W	YIL035C
YOR119C	YOR061W
YDL235C	YIL147C
YDR080W	YER123W
YGR262C	YHR205W
YLR371W	YHR030C
YPL267W	YBR160W
YDL225W	YPL031C
YJL157C	YBL016W
YPR119W	YBR160W
YLR310C	YJL164C
YKL189W	YHR102W
YPL240C	YJL187C
YJL076W	YMR001C
YOR372C	YMR001C
YPR049C	YGL180W
YBR135W	YBR160W
YHR030C	YLR113W
YLR113W	YNR031C
YOR329C	YBR059C
YFL029C	YBR160W
YGL115W	YDR477W
YJR053W	YMR001C
YNR052C	YJL141C
YNR047W	YKL126W
YLR138W	YLR113W
YJL095W	YHR030C
YAL041W	YNL298W
YFR028C	YMR001C
YDR207C	YMR139W
YDR477W	YKL048C
YEL009C	YPL031C
YKL160W	YIL035C
YDR356W	YDL028C
YLR079W	YLR113W
YDR496C	YIL035C
YLR425W	YBR160W
YPR161C	YFL029C
YGR092W	YMR001C
YBR060C	YBR160W
YKR089C	YBR160W
YHR030C	YOR231W
YAL024C	YBR160W
YER177W	YJL164C
YER111C	YBR160W
YDR052C	YMR001C
YLR182W	YBR160W
YLR229C	YNL298W
YNR031C	YJL128C
YHR107C	YDR507C
YLR006C	YNR031C
YAL038W	YNL307C
YLR079W	YPL031C
YJR076C	YNL298W
YPR025C	YDL108W
YIL033C	YNL307C
YBL097W	YMR001C
YDR325W	YMR001C
YLR272C	YMR001C
YBL016W	YDL159W
YDL159W	YBL016W
YOR329C	YIL095W
YNL312W	YJL106W
YER089C	YPL153C
YGL073W	YDR477W
YDR477W	YGL179C
YBR133C	YJL187C
YNL289W	YPL031C
YMR153W	YPL204W
YGL113W	YBR160W
YDR052C	YDL017W
YPL256C	YBR160W
YJL128C	YLR362W
YCR088W	YNL020C
YCL032W	YLR362W
YJL187C	YKL101W
YPR185W	YGL180W
YNL309W	YBR160W
YMR165C	YBR160W
YPR165W	YBL105C
YDR113C	YBR274W
YNL272C	YNL161W
YGL175C	YBR160W
YJL141C	YPL203W
YDR043C	YIL035C
YIR006C	YNL020C
YMR001C	YJL187C
YOR195W	YMR001C
YGR092W	YBR160W
YBL007C	YNL020C
YHR124W	YJL106W
YGL134W	YPL031C
YIL050W	YPL031C
YMR104C	YKL203C
YER106W	YPL204W
YMR109W	YMR104C
YDL161W	YIL095W
YKL185W	YPL031C
YGL175C	YMR001C
YFL033C	YJL164C
YMR055C	YMR001C
YPR120C	YBR160W
YPR016C	YPL204W
YDR103W	YBL016W
YJL128C	YLR248W
YBR160W	YNL298W
YDR217C	YBR136W
YDR146C	YPL031C
YNL025C	YPL042C
YIL129C	YNL161W
YDR309C	YNL298W
YML074C	YOR061W
YOR254C	YIL035C
YBL063W	YBR160W
YDR496C	YOR061W
YGL163C	YOR351C
YGL123W	YKL139W
YIL106W	YDL028C
YLR384C	YPL204W
YMR172W	YLR113W
YDL140C	YLR113W
YLR226W	YPR161C
YPR175W	YBR160W
YBL105C	YOL100W
YOL100W	YBL105C
YER020W	YJL106W
YCL061C	YPL153C
YBL078C	YGL180W
YPR185W	YKL166C
YPR185W	YPL203W
YPR185W	YJL164C
YGL086W	YDL028C
YMR037C	YPL042C
YIL105C	YKL203C
YDR146C	YBR160W
YMR311C	YPL031C
YDL140C	YKL139W
YDR223W	YJL141C
YBL105C	YHR030C
YHR030C	YBL105C
YIL033C	YOL128C
YGR252W	YDR477W
YJL006C	YKL139W
YDR216W	YDR477W
YDL155W	YBR160W
YLR210W	YBR160W
YLR133W	YJL164C
YJR072C	YPL031C
YJL115W	YPL153C
YOR353C	YHR102W
YPL133C	YDR477W
YOR028C	YPL203W
YOR028C	YKL166C
YOR028C	YJL164C
YER148W	YOR061W
YDR168W	YOR061W
YDR043C	YDR477W
YNL271C	YIL095W
YGL073W	YJL141C
YLR265C	YDL101C
