ORF	GENE.NAME	GROWTH.CYTO	GROWTH.MEM	AB.CYTO.AGENT	AB.MEM.AGENT	AB.PAX.NORM	AB.GFP.YMD	AB.GFP.YPD	AB.MS.hap	AB.MS.dip	AB.WESTEN
YOR002W	ALG6	NA	NA	NA	NA	1049.1	78	78	NA	NA	NA
YBR017C	KAP104	NA	NA	NA	NA	5295.1	158	277	2142100000	1.54E+09	2130
YPL072W	UBP16	NA	NA	NA	NA	144.4	NA	NA	NA	NA	450
YGL137W	SEC27	44759	40988	219968	107602	61792.7	996	1406	5982100000	4562300000	129000
YLR210W	CLB4	NA	NA	NA	NA	31	NA	NA	NA	NA	99
YKL193C	SDS22	30597	22095	18468	5340	5883.4	150	119	4084500000	2.65E+09	3870
YCR038C	BUD5	NA	NA	NA	NA	659.5	NA	NA	41243	36053	2110
YKL041W	VPS24	8640	15025	1024	2146	2995.3	164	165	187280000	125200000	1890
YOL068C	HST1	NA	NA	NA	NA	490.4	NA	NA	8838100	5879400	1440
YGL251C	HFM1	NA	NA	NA	NA	65.5	NA	NA	124440000	91572000	NA
YLR068W	FYV7	6958	1344	853	480	993.5	NA	NA	119900000	92667000	1460
YOR388C	FDH1	NA	NA	NA	NA	7.8	NA	NA	NA	NA	NA
YPL031C	PHO85	NA	NA	NA	NA	4337.5	152	181	286010000	196160000	6160
YNL025C	SSN8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YNL163C	RIA1	NA	NA	NA	NA	5879.9	174	216	1.45E+09	1122400000	7770
YJR155W	AAD10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YKL037W	YKL037W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YKL159C	RCN1	5010	3513	695	596	258.6	NA	NA	122760000	95452000	521
YBL004W	UTP20	NA	NA	NA	NA	3191.1	103	269	1.04E+09	1089100000	NA
YMR159C	ATG16	17209	9643	2814	1145	186.7	NA	NA	14881000	11318000	573
YFL009W	CDC4	NA	NA	NA	NA	53.5	NA	NA	102340000	69989000	NA
YOL052C-A	DDR2	11351	4831	1390	682	245.2	NA	NA	NA	NA	784
YHL024W	RIM4	15845	2039	2373	514	7	NA	NA	3290400	2150000	NA
YHR211W	FLO5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YIL131C	FKH1	NA	NA	NA	NA	906.1	NA	NA	80847000	48379000	1720
YJL034W	KAR2	NA	NA	NA	NA	141001.7	168	197	5.44E+10	3.90E+10	337000
YDR173C	ARG82	NA	NA	NA	NA	909.6	NA	NA	115520000	66391000	2720
YNL085W	MKT1	16021	1756	2425	500	3653.4	102	197	514370000	256930000	3430
YNL078W	NIS1	NA	NA	NA	NA	545.4	NA	NA	NA	NA	504
YMR139W	RIM11	23294	12341	6298	1558	3624.5	126	63	169540000	104440000	6990
YCL018W	LEU2	NA	NA	NA	NA	1959.5	NA	NA	NA	NA	NA
YPL133C	RDS2	NA	NA	NA	NA	436.1	NA	NA	54123000	35139000	799
YAL016W	TPD3	NA	NA	NA	NA	17759.4	740	772	2162600000	1568400000	16900
YDL190C	UFD2	18338	3881	3248	618	4945.6	174	193	2529200000	2.16E+09	2600
YHR037W	PUT2	NA	NA	NA	NA	12155.8	380	241	4155800000	3183500000	17200
YBR044C	TCM62	NA	NA	NA	NA	55.7	NA	NA	96346000	69296000	NA
YHR005C	GPA1	NA	NA	NA	NA	10291.4	455	580	671490000	42354000	9920
YNL278W	CAF120	15269	9597	2211	1139	1490.9	84	65	104040000	78983000	1380
YDL192W	ARF1	38061	39699	63578	85093	52954.2	2432	4336	108980000	81669000	19300
YGR285C	ZUO1	42576	34385	144658	33957	110281.2	2910	3904	4.76E+10	3.61E+10	86400
YNL267W	PIK1	NA	NA	NA	NA	722.2	NA	NA	387130000	238240000	1600
YCL067C	HMLALPHA2	NA	NA	NA	NA	1.4	NA	NA	1642100	3422800	NA
YER119C	AVT6	NA	NA	NA	NA	2.8	NA	NA	NA	NA	NA
YGL263W	COS12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YDL194W	SNF3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YBR279W	PAF1	6490	1724	812	498	4642.6	197	282	1835400000	1318900000	1040
YER166W	DNF1	17212	23541	2815	6519	1922.1	76	160	652270000	543250000	NA
YDR068W	DOS2	30461	29529	18080	15655	3851.3	180	180	750490000	507740000	3270
YBR234C	ARC40	34822	26922	36515	10582	7979.6	NA	NA	969570000	635800000	NA
YBL071W-A	KTI11	31798	20197	22312	4139	10699.4	430	826	NA	NA	8400
YER151C	UBP3	15981	3707	2413	608	9474.1	498	448	3400300000	2524300000	2210
YCR067C	SED4	NA	NA	NA	NA	608.8	NA	NA	73482000	66292000	NA
YMR048W	CSM3	NA	NA	NA	NA	2690.2	156	234	81699000	58532000	358
YFR031C	SMC2	NA	NA	NA	NA	1257.7	NA	NA	210540000	128250000	3290
YIL049W	DFG10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR396C	VPS33	4027	7020	628	859	1294.4	75	69	133950000	102960000	830
YMR294W	JNM1	6924	3377	850	588	49.3	NA	NA	100810000	67947000	NA
YGL033W	HOP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR223C	IFH1	8186	2820	975	555	563	NA	NA	123850000	240090000	1430
YGR010W	NMA2	NA	NA	NA	NA	464.3	NA	NA	5594100	3809400	1430
YER173W	RAD24	NA	NA	NA	NA	235.3	NA	NA	NA	NA	752
YML085C	TUB1	24014	1032	6965	465	16730	507	373	2395700000	1665800000	5590
YLL034C	RIX7	6605	1300	822	478	3355.3	48	102	1219800000	936440000	4490
