TAG	NAME	GWEIGHT	1181-0519.x	1181-0519.y	FK506.x	FK506.y	CuSO4.x	CuSO4.y	doxorubicin.x	doxorubicin.y	atorvastatin.x	atorvastatin.y	AA-mixture.x	AA-mixture.y	methionine.x	methionine.y	menadione.x	menadione.y	H2O2.x	H2O2.y	ethanol.x	ethanol.y	heat-shock.x	heat-shock.y	N-starvation.x	sorbitol.x	NaCl.x	NaCl.y	sorbitol.y	N-starvation.y
EWEIGHT			1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
TM_0431	TM_0431	1.000000	-0.011282	-0.004439	0.137800	0.080671	0.048639	0.034220	0.073068	0.002676	-0.204710	0.005988	-0.105584	0.128706	0.211816	0.222076	-0.052652	-0.126859	0.063797	0.009793	-0.042291	-0.056848	0.013041	-0.080675	0.264604	-0.248517	-0.059240	0.126640	-0.191234	-0.096939
TM_0441	TM_0441	1.000000	0.118744	-0.020430	0.183685	0.019837	-0.091454	-0.197608	-0.028185	0.401122	-0.159443	0.179834	0.306757	0.041884	0.875570	0.848374	-0.180369	-0.734428	0.031467	-0.309579	0.063271	0.331579	-0.048397	-0.141025	0.442788	-0.561282	-0.765150	0.401489	-0.596620	-0.268512
TM_1187	TM_1187	1.000000	-0.004796	-0.094118	-0.029978	-0.055256	0.077543	0.074969	-0.027985	-0.111912	-0.058650	0.139146	-0.000268	0.004393	0.364122	0.335942	0.186458	0.043867	-0.107693	-0.031784	0.361936	0.307137	-0.032615	-0.129481	0.321349	-0.320486	0.138254	-0.106644	-0.352387	0.110844
TM_1223	TM_1223	1.000000	0.313532	0.032670	-0.385396	-0.075424	-0.152261	0.226469	0.048643	0.384332	0.334585	0.343013	-0.454464	0.135265	0.700179	0.810963	0.031079	-0.767011	-0.851911	-0.268059	-0.816949	-1.142661	-3.327136	0.164828	-0.301117	-0.035788	0.627861	-0.206435	0.016611	-2.126684
TM_0572	TM_0572	1.000000	0.469618	0.277183	0.312275	0.217359	0.023316	0.340203	0.362327	-0.111275	0.383716	-0.375938	-1.334357	-0.017759	0.829402	0.382713	0.156951	-0.411237	-1.894879	-0.256945	-1.792960	-0.772051	-2.110916	-1.453825	0.069350	-3.808544	0.345399	-0.126203	-0.283776	0.293333
TM_0485	TM_0485	1.000000	-0.008444	0.072638	0.018515	0.053102	0.004705	0.044075	-0.085094	0.001117	0.026730	0.037263	-0.020097	-0.059178	0.038808	0.134698	0.113002	0.095282	-0.139512	-0.427584	-0.154184	-0.446802	-0.558011	-0.303093	0.087366	-0.268898	-0.002242	-0.071707	0.029824	0.181184
TM_1091	TM_1091	1.000000	0.157536	0.137581	0.571877	0.513638	-0.029564	-0.015742	-0.161199	0.034808	-0.002479	-0.048119	0.161673	0.085097	0.031959	0.072176	0.115528	0.140545	-0.667217	-0.550902	-0.321358	-0.343583	-1.083766	-0.505775	-0.166820	-0.132024	0.011799	0.218040	-0.013581	-0.030182
TM_0669	TM_0669	1.000000	0.166645	0.190210	0.059786	0.024310	0.113439	0.069572	-0.244610	-0.203304	-0.210789	-0.086264	0.172626	0.095790	0.017889	0.071493	-0.001656	0.068550	0.107712	-0.066740	-0.157848	-0.062873	-0.478705	-0.306333	-0.057976	-0.210209	-0.140552	-0.216574	0.122168	0.007240
TM_0404	TM_0404	1.000000	-0.280107	-0.037303	-0.108284	0.037803	0.080444	-0.015295	0.021423	0.081207	-0.161810	-0.013915	0.030506	0.257829	0.375635	0.365929	-0.032071	-0.080418	0.112558	-0.295084	-0.139139	-0.227552	-0.156606	-0.280501	0.051897	0.042050	-0.317547	0.089954	0.122932	0.200704
