ORF.1	ORF.2
YPL228W	YPL240C
YPL228W	YDL140C
YPL228W	YOR375C
YPL228W	YDR127W
YPL228W	YLL024C
YPL228W	YDL229W
YPL228W	YNL064C
YPL228W	YDR258C
YPL228W	P38834
YPL228W	YER048C
YPL228W	YEL030W
YPL228W	YNL209W
YPL228W	YGL130W
YPL228W	YDR510W
YDR110W	YDR224C
YDR110W	TEF1|TEF2
YDR110W	YDL042C
YDR110W	YGL237C
YDR110W	YLR182W
YDR110W	YAL005C
YDR110W	YLL024C
YDR110W	YDL229W
YDR110W	YMR043W
YDR110W	YER111C
YDR110W	YJL115W
YDR110W	YGR140W
YDR110W	YPL106C
YDR110W	YDR258C
YDR110W	YJL127C
YDR110W	YKR029C
YDR110W	YGR270W
YDR110W	YLR045C
YDR110W	YJL076W
YDR110W	HHT1|HHT2
YDR110W	YFR028C
YDR110W	YKR010C
YDR110W	YLR033W
YDR110W	YPR018W
YPL081W	HHF1|HHF2
YPL081W	YPL240C
YPL081W	YBR189W
YPL081W	YDR064W
YPL081W	YIL038C
YPL081W	YOR204W
YPL081W	YFR034C
YPL081W	YJL190C
YPL081W	YER074W
YPL081W	YJR145C
YPL081W	YBL072C
YPL081W	YDR025W
YPL081W	YMR143W
YPL081W	YHL034C
YPL081W	YDL229W
YPL081W	YDL014W
YPL081W	YJL033W
YPL081W	YCL011C
YPL081W	YCR057C
YPL081W	YOR096W
YPL081W	YAR014C
YPL081W	YPR086W
YPL081W	YPL204W
YPL081W	YNL287W
YPL081W	YMR064W
YPL081W	YMR309C
YPL081W	YNL016W
YPL081W	YBR079C
YPL081W	YDL195W
YPL081W	YDR228C
YPL081W	YER155C
YPL081W	YER053C
YPL081W	YNL207W
YPL081W	YMR146C
YPL081W	YIR010W
YPL081W	YGL120C
YPL081W	YGR090W
YPL081W	NAT10
YPL081W	YGL190C
YPL081W	YMR176W
YPL081W	YMR012W
YPL081W	YKL139W
YPL081W	YDR533C
YPL081W	YLR215C
YPL081W	YPR144C
YPL081W	YDR299W
YPL081W	YPL217C
YPL081W	YDL149W
YPL081W	YPL212C
YPL081W	YOL123W
O13518	YAL005C
O13518	YLL024C
