ORF.1	ORF.2
A0A023	PYF7
A2P2R3	YLR310C
A2P2R3	YHL002W
D6VPM8	YHL048W
D6VPM8	YDL217C
YFL026W	YFL026W
YFL026W	YHR005C
YFL026W	YOR212W
YFL026W	YGL089C
YFL026W	YHR016C
YFL026W	YIL068C
YFL026W	YGR141W
YFL026W	YOR242C
YFL026W	YPL189W
YNL083W	YHR190W
YNL083W	YNL008C
MPR1	MPR1
YPL228W	YPL228W
YPL228W	YDL140C
YPL228W	YGL130W
YDR110W	YDR110W
YDR110W	YER161C
YDR110W	YHR152W
YDR110W	YPL153C
YDR110W	YBR119W
YDR110W	YHL004W
YDR110W	YGL127C
YDR110W	YML064C
YDR110W	YER146W
YDR110W	YIL061C
YDR110W	YDR235W
YDR110W	YLR095C
YDR110W	YDR026C
O13512	O13567
O13517	YDR034C
O13518	YMR133W
O13518	YDR034C
O13519	YPL036W
O13519	YBR101C
TY1B-A	YHL002W
TY1B-A	YNL118C
O13530	YPL094C
O13530	YJL199C
O13531	YER125W
O13531	YIR010W
O13531	YFL010C
O13531	YLR288C
O13531	YPR152C
O13532	YJR082C
TY1B-H	YKL129C
O13537	YEL009C
O13537	YNL012W
YHR167W	YML062C
YHR167W	YER018C
YHR167W	YJL011C
YHR167W	YNL139C
YHR167W	YNL041C
YHR167W	YLR423C
YHR167W	YOL015W
YHR167W	YDL005C
YHR167W	YPR046W
O13540	YAR027W
O13543	YOR348C
O13543	YPR086W
O13543	YOR190W
O13543	YMR047C
O13545	P37264
YLR390W-A	YDR145W
YLR390W-A	YOL132W
YLR390W-A	YPL149W
O13548	YML104C
YLR261C	YLR134W
YLR261C	YNL025C
O13550	YJR017C
O13550	YKL012W
O13550	YER125W
O13550	YER112W
O13550	YFL010C
O13550	YJL168C
O13550	YJR022W
O13550	YJR091C
O13553	P53910
YLR322W	P38177
YLR322W	YIL132C
YLR322W	YJR091C
YLR322W	YNL025C
YLR331C	YER022W
O13556	YKR086W
YLR465C	YML035C
YLR465C	YLR447C
YLR465C	Q12346
YLR466W	YER042W
YLR466W	YDR490C
O13561	YBL085W
O13562	YPR201W
YLR421C	YIL075C
YLR421C	YHR200W
O13564	YPL242C
O13565	YMR228W
O13565	YNL145W
O13565	YNL025C
O13566	Q03083
O13567	YML092C
O13567	YMR294W
O13567	YER081W
O13567	YJR091C
O13568	YJR091C
O13569	YER081W
O13569	YDR034C
O13573	YLR288C
O13574	YBR265W
O13575	YKR086W
O13576	YMR047C
O13576	Q07990
YLR437C	YIR017C
YLR437C	YLR277C
O13578	P43539
O13579	YJR091C
O13582	YCL032W
O13583	YDL138W
O13585	YPL240C
O13587	YMR173W
O13587	YJR082C
O13587	YJR091C
O13588	YMR032W
YPL249C-A	YBL026W
YPL249C-A	YDR388W
YPL249C-A	YPR154W
YPL249C-A	YDR510W
YOR298C-A	YIL031W
O14468	YCL029C
O14468	YCR084C
O14468	YNL314W
O14468	YCL032W
O14468	YKL079W
O14468	YDL197C
O14468	YLR314C
O14468	YKR054C
O14468	YBR057C
O14468	YGR274C
O14468	YJR075W
O14468	YGL093W
O14468	YNL041C
O14468	YFL039C
O14468	YDR150W
O14468	YDL239C
O14468	YOR177C
O14468	YPL146C
O14468	YPR046W
O14468	YOL091W
YKL053C-A	YLR193C
YEL020W-A	YEL020W-A
YEL020W-A	YBL030C
YEL020W-A	YKL195W
YEL020W-A	YHR005C-A
YLR338W	YAL032C
YLR338W	YBL102W
O94085	YCR047C
O94085	YFL044C
O94085	LAM5
O94085	YLR461W
O94086	P43562
YDR363W-A	YMR120C
YDR363W-A	YDR159W
YDR363W-A	YJR084W
YDR363W-A	YOL072W
YJR048W	YJR048W
YJR048W	YKR066C
YJR048W	YOR065W
YJR048W	YGR029W
YJR048W	YHR098C
YJR048W	YNL334C
YJR048W	YLR288C
YEL039C	YGL078C
YEL039C	YNL229C
YEL039C	YHR195W
YFR033C	YOR065W
YFR033C	YJL166W
YFR033C	YNL236W
YDR529C	Q0105
YDR529C	YOR065W
YDR529C	YJL166W
YDR529C	YHR114W
YDR529C	YLR292C
YDR529C	YGL061C
Q0105	YOR065W
Q0105	YBL045C
Q0105	YEL024W
Q0105	YJL166W
YML054C	YML054C
YOL086C	YOL086C
YOL086C	YKL116C
YOL086C	YKL188C
YOL086C	YDR135C
YOL086C	YOR357C
YMR303C	YER125W
YMR303C	YIL030C
YMR303C	LAM5
YJR009C	YIL031W
YJR009C	YPL020C
YJR009C	YNL189W
YJR009C	Q04978
YJR009C	YLR295C
YGR192C	YGR192C
YGR192C	YKL129C
YGR192C	YPL020C
YGR192C	YNL189W
YGR192C	YMR109W
YJL052W	YNL189W
Q0045	Q0250
Q0045	Q0275
Q0045	YLR395C
Q0250	YBR037C
YIL111W	P38745
YIL111W	YDR254W
YIL111W	YAR027W
