PPI	ORF1	ORF2	 Gene1	 Gene2	Log2(R) P1	Log2(R) P2	I-score
YAL026C_YAL026C	YAL026C	YAL026C	DRS2	DRS2	0.418701001	0.418701001	-0.021179323
YAL026C_YAL053W	YAL026C	YAL053W	DRS2	FLC2	0.418701001	0.322990613	-0.424861189
YAL026C_YDL019C	YAL026C	YDL019C	DRS2	OSH2	0.418701001	0.624326506	NA
YAL029C_YAL029C	YAL029C	YAL029C	MYO4	MYO4	0.37859675	0.37859675	0.074936371
YAL029C_YBR130C	YAL029C	YBR130C	MYO4	SHE3	0.37859675	0.24454528	0.364535784
YAL029C_YKL130C	YAL029C	YKL130C	MYO4	SHE2	0.37859675	0.158579121	-0.535311618
YAL041W_YBL085W	YAL041W	YBL085W	CDC24	BOI1	0.303734703	0.415634318	NA
YAL041W_YBR200W	YAL041W	YBR200W	CDC24	BEM1	0.303734703	0.57978222	0.091827188
YAL041W_YDR379W	YAL041W	YDR379W	CDC24	RGA2	0.303734703	0.379673701	NA
YAL047C_YIL002W-A	YAL047C	YIL002W-A	SPC72	YIL002W-A	0.145657345	NA	NA
YAL047C_YLR025W	YAL047C	YLR025W	SPC72	SNF7	0.145657345	NA	NA
YAL047C_YLR045C	YAL047C	YLR045C	SPC72	STU2	0.145657345	0.519964703	NA
YAL047C_YOR069W	YAL047C	YOR069W	SPC72	VPS5	0.145657345	0.556890436	NA
YAR002C-A_YGL054C	YAR002C-A	YGL054C	ERP1	ERV14	0.546729174	0.738405288	NA
YAR002C-A_YGR284C	YAR002C-A	YGR284C	ERP1	ERV29	0.546729174	1.198068487	0.046726101
YAR018C_YDR119W	YAR018C	YDR119W	KIN3	VBA4	NA	0.30595422	NA
YAR018C_YMR198W	YAR018C	YMR198W	KIN3	CIK1	NA	0.234049009	NA
YAR018C_YOR117W	YAR018C	YOR117W	KIN3	RPT5	NA	NA	NA
YAR042W_YER120W	YAR042W	YER120W	SWH1	SCS2	NA	0.377258599	NA
YBL004W_YGL122C	YBL004W	YGL122C	UTP20	NAB2	0.222455155	0.890973787	NA
YBL004W_YLL011W	YBL004W	YLL011W	UTP20	SOF1	0.222455155	0.531232864	NA
YBL007C_YCR030C	YBL007C	YCR030C	SLA1	SYP1	0.357215791	0.720449883	NA
YBL007C_YER118C	YBL007C	YER118C	SLA1	SHO1	0.357215791	0.363301133	NA
YBL007C_YFR024C-A	YBL007C	YFR024C-A	SLA1	LSB3	0.357215791	0.745341492	-1.250628487
YBL007C_YFR051C	YBL007C	YFR051C	SLA1	RET2	0.357215791	0.203833944	NA
YBL007C_YGL206C	YBL007C	YGL206C	SLA1	CHC1	0.357215791	0.376158685	-0.435408624
YBL007C_YHR016C	YBL007C	YHR016C	SLA1	YSC84	0.357215791	NA	NA
YBL007C_YIL095W	YBL007C	YIL095W	SLA1	PRK1	0.357215791	0.277931512	NA
YBL007C_YML109W	YBL007C	YML109W	SLA1	ZDS2	0.357215791	0.317551946	NA
YBL007C_YNL084C	YBL007C	YNL084C	SLA1	END3	0.357215791	0.603991295	-0.384708166
YBL007C_YNL106C	YBL007C	YNL106C	SLA1	INP52	0.357215791	0.418736054	NA
YBL007C_YOR047C	YBL007C	YOR047C	SLA1	STD1	0.357215791	NA	NA
YBL007C_YOR181W	YBL007C	YOR181W	SLA1	LAS17	0.357215791	0.135178981	-0.54042025
YBL017C_YBL017C	YBL017C	YBL017C	PEP1	PEP1	0.235719403	0.235719403	-0.278753573
YBL017C_YJL053W	YBL017C	YJL053W	PEP1	PEP8	0.235719403	0.845984331	0.592238739
YBL017C_YJL154C	YBL017C	YJL154C	PEP1	VPS35	0.235719403	0.63943227	-0.562752624
YBL017C_YMR010W	YBL017C	YMR010W	PEP1	YMR010W	0.235719403	0.322385849	-0.164051096
YBL026W_YCR093W	YBL026W	YCR093W	LSM2	CDC39	0.798354879	0.736186448	0.071297357
YBL026W_YDL160C	YBL026W	YDL160C	LSM2	DHH1	0.798354879	0.644020755	1.333097952
YBL026W_YDR378C	YBL026W	YDR378C	LSM2	LSM6	0.798354879	NA	2.180056912
YBL026W_YER112W	YBL026W	YER112W	LSM2	LSM4	0.798354879	0.836821179	0.743150929
YBL026W_YLR438C-A	YBL026W	YLR438C-A	LSM2	LSM3	0.798354879	0.919337952	1.134356656
YBL033C_YBL033C	YBL033C	YBL033C	RIB1	RIB1	0.834190083	0.834190083	-0.373010018
YBL033C_YNL287W	YBL033C	YNL287W	RIB1	SEC21	0.834190083	0.086281943	NA
YBL034C_YOL069W	YBL034C	YOL069W	STU1	NUF2	0.185321884	0.419343473	NA
YBL051C_YNL288W	YBL051C	YNL288W	PIN4	CAF40	0.079145437	0.787684296	-0.808638465
YBL068W_YKL181W	YBL068W	YKL181W	PRS4	PRS1	0.572942588	0.177263749	-0.5944275
YBL071W-A_YGR200C	YBL071W-A	YGR200C	KTI11	ELP2	0.744032072	0.110874527	-0.258728041
YBL075C_YPL042C	YBL075C	YPL042C	SSA3	SSN3	0.367136057	NA	NA
YBL085W_YBR200W	YBL085W	YBR200W	BOI1	BEM1	0.415634318	0.57978222	NA
YBL085W_YML109W	YBL085W	YML109W	BOI1	ZDS2	0.415634318	0.317551946	NA
YBL085W_YNL078W	YBL085W	YNL078W	BOI1	NIS1	0.415634318	0.168367482	NA
YBL093C_YOR140W	YBL093C	YOR140W	ROX3	SFL1	0.75067635	0.401896051	NA
YBR006W_YBR006W	YBR006W	YBR006W	UGA2	UGA2	0.589426851	0.589426851	-0.456146921
YBR009C_YBR195C	YBR009C	YBR195C	HHF1	MSI1	-0.021037675	0.108892663	NA
