Gene	Gene Systematic Name	Gene Ontology Term	Gene Ontology Term ID	Qualifier	Aspect	Method	Evidence	Source	Assigned On	Annotation Extension	Reference
15S_RRNA	Q0020	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with mitochondrial small ribosomal subunit	SGD	2015-06-12		Osinga KA, et al. (1981) PMID:6262728
VAR1	Q0140	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR007980	InterPro	2017-01-14		DDB, et al. (2001)
VAR1	Q0140	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-08		Saveanu C, et al. (2001) PMID:11278769
21S_RRNA	Q0158	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IMP	SGD	2003-07-21		Julou C and Bolotin-Fukuhara M (1982) PMID:6759872
21S_RRNA	Q0158	structural constituent of ribosome	GO:0003735		molecular function	manually curated	ISS	SGD	2003-07-21		Julou C and Bolotin-Fukuhara M (1982) PMID:6759872
RDN18-1	RDN18-1	structural constituent of ribosome	GO:0003735		molecular function	manually curated	TAS	SGD	2002-06-19		Venema J and Tollervey D (1999) PMID:10690410
RDN18-2	RDN18-2	structural constituent of ribosome	GO:0003735		molecular function	manually curated	TAS	SGD	2002-06-19		Venema J and Tollervey D (1999) PMID:10690410
RDN25-1	RDN25-1	structural constituent of ribosome	GO:0003735		molecular function	manually curated	TAS	SGD	2002-06-19		Venema J and Tollervey D (1999) PMID:10690410
RDN25-2	RDN25-2	structural constituent of ribosome	GO:0003735		molecular function	manually curated	TAS	SGD	2007-05-23		Venema J and Tollervey D (1999) PMID:10690410
RDN5-1	RDN5-1	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2002-06-19		Kiparisov S, et al. (2005) PMID:16047201
RDN5-2	RDN5-2	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2015-07-30		Kiparisov S, et al. (2005) PMID:16047201
RDN5-3	RDN5-3	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2015-07-30		Kiparisov S, et al. (2005) PMID:16047201
RDN5-4	RDN5-4	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2015-07-30		Kiparisov S, et al. (2005) PMID:16047201
RDN5-5	RDN5-5	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2015-07-30		Kiparisov S, et al. (2005) PMID:16047201
RDN5-6	RDN5-6	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2002-06-19		Kiparisov S, et al. (2005) PMID:16047201
RDN58-1	RDN58-1	structural constituent of ribosome	GO:0003735		molecular function	manually curated	TAS	SGD	2002-06-19		Venema J and Tollervey D (1999) PMID:10690410
RDN58-2	RDN58-2	structural constituent of ribosome	GO:0003735		molecular function	manually curated	TAS	SGD	2002-06-19		Venema J and Tollervey D (1999) PMID:10690410
RPL19B	YBL027W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL19B	YBL027W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000196, IPR015974, IPR033935, IPR015972	InterPro	2017-01-14		DDB, et al. (2001)
RPL19B	YBL027W	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-21		Gaudet P, et al (2010)
MRPL16	YBL038W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2013-11-22		Pan C and Mason TL (1995) PMID:7478995
MRPL16	YBL038W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-13		Kitakawa M, et al. (1997) PMID:9151978
MRPL16	YBL038W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR016180, IPR000114, IPR020798	InterPro	2017-01-14		DDB, et al. (2001)
RPS8A	YBL072C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-15		Otaka E, et al. (1984) PMID:18782943
RPS8A	YBL072C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR018283, IPR001047	InterPro	2017-01-14		DDB, et al. (2001)
RPL23A	YBL087C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL23A	YBL087C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000218	InterPro	2017-01-14		DDB, et al. (2001)
RPL23A	YBL087C	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-21		Gaudet P, et al (2010)
MRP21	YBL090W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2001-01-18		Green-Willms NS, et al. (1998) PMID:9528754
MRP21	YBL090W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR001911	InterPro	2017-01-14		DDB, et al. (2001)
RPL32	YBL092W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL32	YBL092W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR018263, IPR001515	InterPro	2017-01-14		DDB, et al. (2001)
RPL4A	YBR031W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL4A	YBR031W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR002136, IPR023574	InterPro	2017-01-14		DDB, et al. (2001)
RPL4A	YBR031W	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-21		Gaudet P, et al (2010)
RPS11B	YBR048W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-22		Otaka E, et al. (1982) PMID:6814480
RPS11B	YBR048W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000266, IPR019979	InterPro	2017-01-14		DDB, et al. (2001)
RPL19A	YBR084C-A	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL19A	YBR084C-A	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000196, IPR015974, IPR033935, IPR015972	InterPro	2017-01-14		DDB, et al. (2001)
RPL19A	YBR084C-A	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-21		Gaudet P, et al (2010)
MRPL36	YBR122C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-05		Gan X, et al. (2002) PMID:12392552
MRPS9	YBR146W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-08		Saveanu C, et al. (2001) PMID:11278769
MRPS9	YBR146W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR020574, IPR000754	InterPro	2017-01-14		DDB, et al. (2001)
RPS6B	YBR181C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-03		Otaka E, et al. (1982) PMID:6814480
RPS6B	YBR181C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR001377, IPR018282, IPR014401	InterPro	2017-01-14		DDB, et al. (2001)
RPS9B	YBR189W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-03		Otaka E, et al. (1982) PMID:6814480
RPS9B	YBR189W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR005710	InterPro	2017-01-14		DDB, et al. (2001)
RPL21A	YBR191W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR001147, IPR018259	InterPro	2017-01-14		DDB, et al. (2001)
RPL21A	YBR191W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL21A	YBR191W	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-22		Gaudet P, et al (2010)
MRPS5	YBR251W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR013810, IPR000851, IPR005324	InterPro	2017-01-14		DDB, et al. (2001)
MRPS5	YBR251W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-08		Saveanu C, et al. (2001) PMID:11278769
MRPL37	YBR268W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-11-19		Grohmann L, et al. (1991) PMID:2060626
MRPL27	YBR282W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-05		Gan X, et al. (2002) PMID:12392552
MRPL32	YCR003W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR002677	InterPro	2017-01-14		DDB, et al. (2001)
MRPL32	YCR003W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-11-19		Grohmann L, et al. (1991) PMID:2060626
RPS14A	YCR031C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	NAS	SGD	2008-12-04		Planta RJ and Mager WH (1998) PMID:9559554
RPS14A	YCR031C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR001971	InterPro	2017-01-14		DDB, et al. (2001)
RPS14A	YCR031C	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-22		Gaudet P, et al (2010)
IMG1	YCR046C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR001857	InterPro	2017-01-14		DDB, et al. (2001)
IMG1	YCR046C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-05		Gan X, et al. (2002) PMID:12392552
IMG2	YCR071C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-05		Gan X, et al. (2002) PMID:12392552
IMG2	YCR071C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR007740	InterPro	2017-01-14		DDB, et al. (2001)
MRP10	YDL045W-A	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-11-19		Jin C, et al. (1997) PMID:9065385
MRP10	YDL045W-A	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-13		Kitakawa M, et al. (1997) PMID:9151978
RPS29B	YDL061C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR018271, IPR001209	InterPro	2017-01-14		DDB, et al. (2001)
RPS29B	YDL061C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-15		Otaka E, et al. (1984) PMID:18782943
RPS29B	YDL061C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-17		Otaka E, et al. (1982) PMID:6814480
RPL31A	YDL075W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-15		Otaka E, et al. (1984) PMID:18782943
RPL31A	YDL075W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000054, IPR020052	InterPro	2017-01-14		DDB, et al. (2001)
RPP1A	YDL081C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-02-03		Ben-Shem A, et al. (2011) PMID:22096102
RPP1A	YDL081C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR027534	InterPro	2017-01-14		DDB, et al. (2001)
