"0" "0.1" "0.2" "0.3" "0.4" "0.5" "0.6" "0.7" "0.8" "0.9" "1"
"1181-0519 enhanced" 0.0141 0.0061 0.0321 0.2261 0.5281 0.7201 -1.0001 -0.9401 -0.8381 -0.6921 -0.4881
"1181-0519 depleted" 0.0021 0.0021 1e-04 0.0201 0.2041 0.3441 0.5121 0.6101 0.9101 -0.9801 -1.0001
"AA-mixture enhanced" 1e-04 1e-04 1e-04 1e-04 0.0101 0.0401 0.0881 0.1621 0.2761 0.3461 0.4561
"AA-mixture depleted" 1e-04 1e-04 0.0061 1e-04 0.0281 0.0581 0.1281 0.2001 0.2761 0.4061 0.5461
"atorvastatin enhanced" 1.0001 1.0001 -1.0001 1.0001 1.0001 1.0001 1.0001 1.0001 -1.0001 -1.0001 -1.0001
"atorvastatin depleted" 1e-04 1e-04 1e-04 0.0041 0.0221 0.0921 0.2921 0.3721 0.5081 0.6821 0.8341
"CuSO4 enhanced" 1.0001 1.0001 1.0001 1.0001 1.0001 1.0001 1.0001 1.0001 1.0001 1.0001 1.0001
"CuSO4 depleted" -0.2641 -0.2361 -0.2361 -0.2481 -0.2521 -0.4881 -0.4541 -0.4741 -0.3641 -0.4421 -0.4661
"doxorubicin enhanced" 1e-04 0.0141 0.0701 0.2641 0.5641 0.7621 -0.9221 -0.9741 -0.8561 -0.7221 -0.6581
"doxorubicin depleted" 0.0081 0.0061 0.0421 0.1321 0.3481 0.5201 0.7001 0.8281 -0.9381 -0.9261 -0.8661
"ethanol enhanced" 0.8861 0.7681 0.8401 0.9681 0.9101 -0.8301 -0.6541 -0.6181 -0.4921 -0.4081 -0.3421
"ethanol depleted" 1e-04 0.0041 0.0141 0.0281 0.0341 0.0861 0.1321 0.1901 0.3101 0.3901 0.5061
"FK506 enhanced" 1e-04 1e-04 0.0021 0.0301 0.1281 0.3141 0.4781 0.6061 0.7901 -0.9681 -1.0001
"FK506 depleted" 0.1241 0.1041 0.3641 0.6901 -1.0001 -0.7941 -0.6281 -0.4501 -0.3361 -0.1821 -0.1621
"H2O2 enhanced" 1e-04 1e-04 0.0061 0.0401 0.1721 0.2861 0.4721 0.5621 0.7181 0.8021 -0.9581
"H2O2 depleted" 1e-04 1e-04 1e-04 0.0061 0.0121 0.0421 0.1421 0.2461 0.3521 0.4801 0.5901
"heat-shock enhanced" 0.4281 0.3281 0.6701 -0.9801 -0.8261 -0.5921 -0.4861 -0.4061 -0.3021 -0.2521 -0.1841
"heat-shock depleted" 0.0641 0.0541 0.2001 0.4681 0.7081 0.8761 -0.9941 -0.8581 -0.7281 -0.5881 -0.4841
"menadione enhanced" -1.0001 -1.0001 -1.0001 -1.0001 -0.8221 -0.5481 -0.3061 -0.1861 -0.2261 -0.1101 -0.0721
"menadione depleted" 1e-04 1e-04 1e-04 1e-04 1e-04 1e-04 0.0021 0.0041 0.0541 0.1041 0.1641
"methionine enhanced" 1e-04 1e-04 0.0041 0.0041 0.0361 0.1421 0.3001 0.4101 0.4741 0.6281 0.7781
"methionine depleted" 0.0201 0.0441 0.1041 0.3621 0.5881 0.8241 -0.9801 -0.9121 -0.7501 -0.6661 -0.5201
"N-starvation enhanced" 0.3101 0.3021 0.2441 0.6181 0.6241 1.0001 -1.0001 -1.0001 -1.0001 -1.0001 -0.9601
"N-starvation depleted" 0.4021 0.4021 0.5501 0.9681 -1.0001 -1.0001 -0.8541 -0.5861 -0.4061 -0.3221 -0.2121
"NaCl enhanced" 1e-04 1e-04 1e-04 1e-04 0.0061 0.0501 0.1221 0.2041 0.2841 0.4001 0.4421
"NaCl depleted" 0.0941 0.1021 0.3681 0.7161 -1.0001 -0.8341 -0.6221 -0.4601 -0.3221 -0.2401 -0.1861
"sorbitol enhanced" 1.0001 1.0001 -1.0001 -1.0001 -0.8441 -0.6321 -0.3981 -0.2741 -0.1401 -0.0741 -0.0701
"sorbitol depleted" 0.5301 0.5441 0.8881 -1.0001 -1.0001 -0.9281 -0.6541 -0.5021 -0.3321 -0.2001 -0.1781
