"0" "0.1" "0.2" "0.3" "0.4" "0.5" "0.6" "0.7" "0.8" "0.9" "1"
"1181-0519 enhanced" 0.0041 0.0161 0.0381 0.2421 0.5941 0.7721 1.0001 -1.0001 -0.8361 -0.7081 -0.5601
"1181-0519 depleted" 0.0021 1e-04 0.0061 0.0221 0.1361 0.3561 0.4761 -0.6261 -0.8401 -1.0001 -1.0001
"AA-mixture enhanced" 1e-04 1e-04 1e-04 0.0021 0.0121 0.0441 0.0681 0.1281 0.1681 0.2861 0.4441
"AA-mixture depleted" 1e-04 1e-04 0.0021 0.0021 0.0081 0.0441 0.1061 0.1861 0.2781 0.4301 0.5781
"atorvastatin enhanced" 1.0001 1.0001 1.0001 1.0001 1.0001 1.0001 1.0001 1.0001 -1.0001 -1.0001 -1.0001
"atorvastatin depleted" 1e-04 1e-04 1e-04 0.0041 0.0201 0.0721 0.2441 0.3741 -0.5021 -0.6821 -0.7981
"CuSO4 enhanced" 1.0001 1.0001 1.0001 1.0001 1.0001 1.0001 1.0001 1.0001 1.0001 1.0001 1.0001
"CuSO4 depleted" 0.2861 0.2741 0.2381 0.2501 0.2781 0.4081 0.4401 0.4661 0.4141 0.4201 0.4681
"doxorubicin enhanced" 0.0101 0.0121 0.0421 0.2201 0.4781 0.6321 0.8681 -1.0001 -0.8681 -0.8061 -0.6401
"doxorubicin depleted" 0.0021 0.0061 0.0321 0.1181 0.3001 0.4781 0.6701 -0.8441 -0.9581 -0.9981 -0.8921
"ethanol enhanced" 0.7881	0.7461	0.8541	0.9741	0.9381	-0.8321	-0.7381	-0.6221	-0.5321	-0.4881	-0.3381
"ethanol depleted" 0.0061	0.0041	0.0121	0.0161	0.0241	-0.0561	-0.0941	-0.1101	-0.2261	-0.3321	-0.3961
"FK506 enhanced" 1e-04 1e-04 0.0041 0.0301 0.1641 0.2741 0.4161 0.6041 0.7761 -0.9601 -1.0001
"FK506 depleted" 0.1141 0.1161 0.3601 0.7721 1.0001 0.8761 0.6081 0.4281 0.3001 -0.2201 -0.1601
"H2O2 enhanced" 1e-04 1e-04 0.0041 0.0281 0.1681 0.2621 0.4001 0.6061 0.6061 0.7921 -0.9001
"H2O2 depleted" 1e-04 1e-04 1e-04 1e-04 0.0101 0.0281 0.1201 0.2221 0.3341 0.5341 -0.5701
"heat-shock enhanced" 0.3961 0.3901 0.6261 -0.9381 -0.8621 -0.6661 -0.5361 -0.4341 -0.3001 -0.2321 -0.1841
"heat-shock depleted" 0.0341 0.0581 0.1941 -0.4181 -0.6461 -0.8881 -1.0001 -0.8821 -0.7941 -0.6481 -0.5021
"menadione enhanced" -1.0001 -1.0001 -1.0001 -1.0001 -0.8801 -0.5641 -0.3541 -0.2021 -0.1981 -0.1241 -0.0701
"menadione depleted" -1e-04 -1e-04 -1e-04 -1e-04 -1e-04 -1e-04 -0.0021 -0.0081 -0.0341 -0.1141 -0.1701
"methionine enhanced" 1e-04 1e-04 0.0021 0.0081 0.0201 0.1161 0.2201 0.3801 0.5281 0.6221 0.6761
"methionine depleted" 0.0321 0.0341 0.0961 0.3341 0.6281 0.8341 1.0001 0.9201 0.7901 0.6841 0.5961
"N-starvation enhanced" 0.3721 0.3001 0.2601 0.5821 0.6281 1.0001 -1.0001 -1.0001 -1.0001 -1.0001 -0.9901
"N-starvation depleted" 0.3981 0.3981 0.5141 1.0001 1.0001 0.9261 -0.8441 -0.6081 -0.4921 -0.4361 -0.3321
"NaCl enhanced" 0.0021 1e-04 1e-04 1e-04 0.0081 0.0401 0.1221 0.2141 0.3141 0.3861 0.4821
"NaCl depleted" 0.0781 0.1201 0.3321 0.6541 0.9981 0.9281 0.6301 0.4381 0.3421 0.2721 0.1861
"sorbitol enhanced" 1.0001 1.0001 -1.0001 -1.0001 -0.8741 -0.6161 -0.3761 -0.3141 -0.1241 -0.1041 -0.0501
"sorbitol depleted" 0.5601 0.4641 -0.8741 -1.0001 -1.0001 -0.9121 -0.7121 -0.4641 -0.3841 -0.3221 -0.2501
