"0" "0.1" "0.2" "0.3" "0.4" "0.5" "0.6" "0.7" "0.8" "0.9" "1"
"1181-0519 accumulated" 1e-04 1e-04 1e-04 0.0021 0.0041 0.0301 0.1181 0.3621 0.8461 -1.0001 -0.6661
"1181-0519 depleted" 1e-04 1e-04 1e-04 1e-04 0.0161 0.0561 0.1981 0.4461 0.8601 -0.9141 -0.5981
"AA-mixture accumulated" 1e-04 1e-04 1e-04 1e-04 0.0081 0.0321 0.1261 0.3041 0.6721 -0.9541 -0.4441
"AA-mixture depleted" 1e-04 1e-04 1e-04 1e-04 1e-04 0.0021 1e-04 0.0161 0.1061 0.2001 0.5721
"atorvastatin accumulated" -1.0001 -1.0001 -1.0001 -1.0001 -1.0001 -1.0001 -1.0001 -1.0001 -0.8281 -0.8381 -0.8221
"atorvastatin depleted" 1e-04 1e-04 1e-04 1e-04 1e-04 1e-04 1e-04 1e-04 1e-04 1e-04 0.0061
"CuSO4 accumulated" -1.0001 -1.0001 -1.0001 -1.0001 -1.0001 -1.0001 -1.0001 -1.0001 -1.0001 -1.0001 -1.0001
"CuSO4 depleted" NA NA NA NA NA NA NA NA NA NA NA
"doxorubicin accumulated" 1e-04 0.0021 0.0061 0.0261 0.1621 0.3661 0.7861 -0.8641 -0.4161 -0.1481 -0.0541
"doxorubicin depleted" 1e-04 1e-04 0.0021 0.0061 0.0421 0.2301 0.6121 -1.0001 -0.6121 -0.2761 -0.0801
"ethanol accumulated" 1e-04 1e-04 1e-04 0.0101 0.0321 0.0861 0.2741 0.5801 -0.9381 -0.7341 -0.3381
"ethanol depleted" 1e-04 1e-04 0.0021 0.0021 0.0081 0.0461 0.1141 0.3021 0.7081 -1.0001 -0.5681
"FK506 accumulated" 1e-04 1e-04 1e-04 1e-04 1e-04 1e-04 0.0061 0.0701 0.2961 0.5921 0.9841
"FK506 depleted" 1e-04 1e-04 1e-04 0.0061 0.0041 0.0441 0.2221 0.5481 0.9541 -0.8101 -0.4301
"H2O2 accumulated" 1e-04 0.0041 0.0181 0.0781 0.2981 0.6781 -1.0001 -0.5441 -0.2241 -0.0741 -0.0121
"H2O2 depleted" 1e-04 1e-04 1e-04 1e-04 0.0101 0.0321 0.0861 0.2681 0.7041 -0.9561 -0.6321
"heat-shock accumulated" 1e-04 1e-04 0.0081 0.0421 0.1841 0.4901 0.8741 -0.7681 -0.3601 -0.1161 -0.0421
"heat-shock depleted" 0.0081 0.0061 0.0461 0.1941 0.5001 0.9401 -0.7041 -0.4281 -0.1561 -0.0441 -0.0101
"menadione accumulated" 0.0761 0.0881 0.1281 0.1381 0.2761 0.4741 0.7721 1.0001 1.0001 -1.0001 -0.8541
"menadione depleted" 1e-04 1e-04 1e-04 1e-04 1e-04 0.0021 1e-04 0.0121 0.0241 0.0681 0.1441
"methionine accumulated" 1e-04 0.0021 0.0021 0.0121 0.0481 0.2121 0.5561 0.9101 -0.7421 -0.4101 -0.1661
"methionine depleted" 1e-04 1e-04 1e-04 1e-04 1e-04 1e-04 0.0021 0.0201 0.0941 0.2741 0.6261
"N-starvation accumulated" 0.1081 0.1221 0.1681 0.1921 0.2241 0.4481 0.8221 0.8461 -1.0001 -1.0001 -1.0001
"N-starvation depleted" 1e-04 1e-04 1e-04 0.0061 0.0361 0.0881 0.1681 0.4861 0.9341 -1.0001 -0.7881
"NaCl accumulated" 1e-04 1e-04 1e-04 1e-04 1e-04 1e-04 1e-04 0.0041 0.0161 0.1041 0.2561
"NaCl depleted" 0.0021 0.0081 0.0181 0.0561 0.2081 0.4721 0.9901 -0.7781 -0.4321 -0.1281 -0.0381
"sorbitol accumulated" 0.1861 0.1901 0.3261 0.6161 0.8021 1.0001 -0.8261 -0.6481 -0.3281 -0.1161 -0.0781
"sorbitol depleted" 0.0221 0.0141 0.0561 0.1001 0.3041 0.4141 0.8361 -1.0001 -0.7461 -0.4301 -0.1681
