"0" "0.1" "0.2" "0.3" "0.4" "0.5" "0.6" "0.7" "0.8" "0.9" "1"
"1181-0519 enhanced" 1e-04 1e-04 1e-04 1e-04 0.0061 0.0241 0.1021 0.4021 0.8621 -0.9321 -0.4601
"1181-0519 depleted" 1e-04 1e-04 1e-04 0.0041 0.0181 0.0781 0.1941 0.3881 0.9061 -0.7281 -0.4181
"AA-mixture enhanced" 1e-04 1e-04 1e-04 1e-04 0.0021 0.0261 0.0481 0.2161 0.5861 -0.9501 -0.3681
"AA-mixture depleted" 1e-04 1e-04 1e-04 1e-04 1e-04 1e-04 0.0021 0.0121 0.0761 -0.2441 -0.6281
"atorvastatin enhanced" -1.0001 -1.0001 -1.0001 -1.0001 -1.0001 -1.0001 -1.0001 -1.0001 -0.7901 -0.8241 -0.8101
"atorvastatin depleted" -1e-04 -1e-04 -0.1881 -0.2901 -0.3881 -0.3721 -0.3681 -0.3401 -0.2981 -0.3521 -0.2921
"CuSO4 enhanced" -1.0001 -1.0001 -1.0001 -1.0001 -1.0001 -1.0001 -1.0001 -1.0001 -1.0001 -1.0001 -1.0001
"CuSO4 depleted" -0.2641 -0.2761 -0.2421 -0.2341 -0.2281 -0.4501 -0.4361 -0.3881 -0.4281 -0.4581 -0.4601
"doxorubicin enhanced" 1e-04 1e-04 0.0041 0.0321 0.1341 0.3741 0.7381 -0.8981 -0.4821 -0.1321 -0.0221
"doxorubicin depleted" 1e-04 1e-04 1e-04 0.0181 0.0381 0.1761 0.5421 -0.9461 -0.7301 -0.2861 -0.0481
"ethanol enhanced" 1e-04 1e-04 0.0021 0.0041 0.0081 0.0601 0.1361 0.3941 0.7501 -0.8341 -0.2901
"ethanol depleted" 1e-04 1e-04 1e-04 1e-04 0.0041 0.0241 0.0641 0.2241 0.5141 -0.9201 -0.5241
"FK506 enhanced" 1e-04 1e-04 1e-04 1e-04 1e-04 0.0021 0.0181 0.0681 0.2481 0.5901 -1.0001
"FK506 depleted" 1e-04 1e-04 1e-04 1e-04 0.0161 0.0621 0.1561 0.5381 0.9881 0.5621 -0.2461
"H2O2 enhanced" 0.0021 0.0061 0.0141 0.0921 0.2361 0.6621 -1.0001 -0.5441 -0.2221 -0.0321 -0.0061
"H2O2 depleted" 1e-04 1e-04 1e-04 1e-04 0.0021 0.0261 -0.0701 -0.2421 -0.6481 -1.0001 -0.6781
"heat-shock enhanced" 1e-04 1e-04 0.0081 0.0521 0.1641 0.4421 0.7461 -0.8741 -0.4181 -0.1201 -0.0121
"heat-shock depleted" 0.0021 0.0121 0.0281 0.1561 0.4041 0.8181 0.9041 -0.5021 -0.1821 -0.0221 -0.0021
"menadione enhanced" 0.0681 0.0641 0.1221 0.1381 0.2641 0.4521 0.7401 1.0001 1.0001 -1.0001 -0.7601
"menadione depleted" 1e-04 1e-04 1e-04 1e-04 1e-04 0.0021 0.0061 0.0501 0.0381 -0.1301 -0.2881
"methionine enhanced" 1e-04 1e-04 1e-04 0.0081 0.0481 0.1341 0.4601 0.8521 -0.8601 -0.4701 -0.1001
"methionine depleted" 1e-04 1e-04 1e-04 1e-04 1e-04 1e-04 0.0021 0.0161 -0.0941 -0.4261 -0.7781
"N-starvation enhanced" 0.0781 0.1121 0.1121 0.2221 0.2021 0.4661 0.8341 0.8141 1.0001 1.0001 -1.0001
"N-starvation depleted" 1e-04 1e-04 1e-04 0.0101 0.0741 0.2981 0.5501 1.0001 0.7001 0.4981 -0.3541
"NaCl enhanced" 1e-04 1e-04 1e-04 1e-04 1e-04 1e-04 1e-04 0.0061 0.0181 0.1461 0.3461
"NaCl depleted" 0.0041 0.0021 0.0281 0.0341 0.1781 0.4701 0.9841 0.8161 0.4561 0.1461 0.0321
"sorbitol enhanced" 0.1701 0.1821 0.2921 0.5841 0.8141 1.0001 -0.9101 -0.6721 -0.3061 -0.0881 -0.0421
"sorbitol depleted" 0.0161 0.0181 0.0401 0.1361 0.3001 0.4241 -0.7281 -1.0001 -0.5321 -0.1701 -0.0761
