Protein1	Protein2	Frequency
MUP1	MUP1	4
ITR1	MID2	4
ITR1	PDR12	5
TPO1	PDR12	2
FTR1	PDR12	4
PST2	THI7	4
PST2	FTR1	2
TPO1	PDR5	5
FMP45	TPO3	2
FMP45	HNM1	4
YBL029C-A	FMP45	3
FTR1	TPO3	4
YBL029C-A	GPA2	1
TPO1	TPO3	4
FMP45	PST2	2
SEC4	HXT1	4
GPA2	TPO2	2
FMP45	HXT2	1
YOR1	PDR12	1
SNQ2	SNQ2	4
HXT1	TPO3	3
HNM1	PDR12	2
TPO2	PDR12	1
PST2	PDR12	2
YBL029C-A	MUP1	3
GPA2	PDR12	1
HNM1	HXT2	2
TPO2	TPO3	0
YBL029C-A	HXT5	5
ITR1	HNM1	0
MUP1	HXT1	4
MID2	MID2	2
FTR1	MUP1	4
HNM1	MID2	0
PST2	MID2	1
MUP1	INA1	5
FMP45	FMP45	3
HNM1	PDR5	3
HNM1	TPO2	4
ITR1	ITR1	9
FTR1	TPO2	4
PST2	GPA2	2
FTR1	HNM1	3
TPO1	MID2	0
GPA2	HNM1	1
GPA2	MID2	0
FTR1	HXT1	4
GPA2	YOR1	0
PST2	YOR1	3
TPO1	INA1	6
TPO2	PDR5	2
PDR5	PDR5	3
TPO2	MID2	2
FMP45	HXT1	6
HNM1	TPO1	3
FTR1	YOR1	2
FMP45	HXT5	5
HXT1	HXT1	0
HXT1	TPO1	3
PST2	HNM1	1
ADE17	ADE17	0
HNM1	MUP1	2
TPO2	HXT1	7
GPA2	MUP1	5
MUP1	PDR12	5
PST2	MUP1	2
PST2	PST2	1
HNM1	HNM1	4
HNM1	TPO3	1
HNM1	INA1	4
MUP1	HXT2	5
YBL029C-A	TPO1	0
PST2	ADE17	6
ITR1	FTR1	5
YBL029C-A	FTR1	6
FMP45	ITR1	3
FMP45	TPO1	2
YOR1	MID2	2
GPA2	FTR1	1
FMP45	TPO2	2
HXT5	PDR12	6
SNQ2	TPO2	2
HNM1	YOR1	4
FMP45	MID2	1
FTR1	MID2	2
HXT1	PDR12	2
HXT1	MID2	0
HXT1	PDR5	0
MUP1	TPO2	2
