Condition	Mode	Direction	N	M	X	LOD	LOD_cor	P	P_adj	Gene-Ontology-ID	Gene-Ontology-Attribute
FK506	nodewise	enhanced	3	7	3	3	3	8.80E-07	0.0016	GO:0042910	xenobiotic transporter activity
FK506	nodewise	enhanced	3	7	3	3	3	8.80E-07	0.0016	GO:0008559	xenobiotic-transporting ATPase activity
FK506	nodewise	enhanced	9	9	70	2.2	2.2	1.80E-09	0	GO:0005886	plasma membrane
FK506	nodewise	enhanced	3	7	6	2.1	2.1	1.70E-05	0.037	GO:0090484	drug transporter activity
FK506	nodewise	enhanced	3	7	6	2.1	2.1	1.70E-05	0.037	GO:0015238	drug transmembrane transporter activity
FK506	nodewise	enhanced	5	7	26	1.8	1.8	1.70E-06	0.0035	GO:0022804	active transmembrane transporter activity
FK506	nodewise	depleted	4	6	18	1.9	-1.9	7.20E-06	0.017	GO:0046394	carboxylic acid biosynthetic process
FK506	nodewise	depleted	4	6	18	1.9	-1.9	7.20E-06	0.017	GO:0016053	organic acid biosynthetic process
doxorubicin	nodewise	enhanced	2	3	2	3.3	3.3	1.60E-05	0.048	GO:0015166	polyol transmembrane transporter activity
doxorubicin	nodewise	enhanced	3	5	3	3.2	3.2	2.50E-07	6.00E-04	GO:0015665	alcohol transmembrane transporter activity
doxorubicin	nodewise	enhanced	3	5	3	3.2	3.2	2.50E-07	6.00E-04	GO:1901618	organic hydroxy compound transmembrane transporter activity
doxorubicin	nodewise	enhanced	5	14	13	1.6	1.6	3.10E-06	0.0097	GO:0044459	plasma membrane part
1181-0519	nodewise	enhanced	7	16	26	1.4	1.4	8.50E-07	0.0014	GO:0022804	active transmembrane transporter activity
1181-0519	nodewise	enhanced	22	26	193	1.1	1.1	1.20E-08	0	GO:0016021	integral component of membrane
1181-0519	nodewise	enhanced	11	23	55	1.1	1.1	5.70E-07	0.0013	GO:0022857	transmembrane transporter activity
1181-0519	nodewise	enhanced	24	26	300	1.1	1.1	1.50E-06	0.0029	GO:0016020	membrane
1181-0519	nodewise	enhanced	11	23	56	1	1	7.00E-07	0.0014	GO:0055085	transmembrane transport
1181-0519	nodewise	enhanced	11	19	76	1	1	1.50E-06	0.0029	GO:0005215	transporter activity
1181-0519	nodewise	enhanced	23	26	251	1	1	3.10E-07	7.00E-04	GO:0044425	membrane part
1181-0519	nodewise	enhanced	9	23	50	0.95	0.95	2.40E-05	0.042	GO:0022891	substrate-specific transmembrane transporter activity
1181-0519	nodewise	enhanced	15	19	199	0.89	0.89	2.60E-05	0.046	GO:0044765	single-organism transport
