Condition	Mode	Direction	N	M	X	LOD	LOD_cor	P	P_adj	Gene-Ontology-ID	Gene-Ontology-Attribute
FK506	edgewise	enhanced	10	10	153	2.3	2.3	2.20E-10	0	GO:0005886	plasma membrane
FK506	edgewise	enhanced	6	10	44	1.7	1.7	1.50E-07	2.00E-04	GO:0022804	active transmembrane transporter activity
FK506	edgewise	enhanced	6	10	98	1.3	1.3	1.90E-05	0.018	GO:0055085	transmembrane transport
FK506	edgewise	enhanced	6	10	105	1.3	1.3	2.80E-05	0.024	GO:0022857	transmembrane transporter activity
doxorubicin	edgewise	depleted	3	34	3	2.5	-2.5	1.40E-05	0.02	GO:0046912	transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer
doxorubicin	edgewise	depleted	4	34	6	1.9	-1.9	4.50E-06	0.0087	GO:0016746	transferase activity, transferring acyl groups
doxorubicin	edgewise	depleted	4	34	8	1.6	-1.6	2.00E-05	0.03	GO:1901607	alpha-amino acid biosynthetic process
doxorubicin	edgewise	depleted	4	34	9	1.6	-1.6	3.60E-05	0.048	GO:0008652	cellular amino acid biosynthetic process
1181-0519	edgewise	enhanced	10	18	153	1	1	4.40E-06	0.005	GO:0005886	plasma membrane
1181-0519	edgewise	enhanced	18	21	519	0.95	0.95	7.40E-06	0.0071	GO:0016021	integral component of membrane
1181-0519	edgewise	enhanced	19	21	664	0.93	0.93	5.50E-05	0.041	GO:0044425	membrane part
atorvastatin	edgewise	depleted	4	8	32	1.7	-1.7	1.60E-05	0.0091	GO:0044255	cellular lipid metabolic process
atorvastatin	edgewise	depleted	4	8	49	1.5	-1.5	9.00E-05	0.045	GO:0006629	lipid metabolic process
atorvastatin	edgewise	depleted	11	12	433	1.2	-1.2	2.40E-05	0.013	GO:0044238	primary metabolic process
atorvastatin	edgewise	depleted	11	12	450	1.2	-1.2	3.60E-05	0.019	GO:0071704	organic substance metabolic process
H2O2	edgewise	enhanced	6	8	98	1.6	1.6	2.80E-06	0.0044	GO:0055085	transmembrane transport
H2O2	edgewise	enhanced	8	34	50	0.99	0.99	1.50E-05	0.021	GO:0006812	cation transport
H2O2	edgewise	enhanced	9	34	73	0.87	0.87	3.70E-05	0.048	GO:0006811	ion transport
H2O2	edgewise	enhanced	11	34	105	0.81	0.81	2.00E-05	0.028	GO:0022857	transmembrane transporter activity
H2O2	edgewise	enhanced	12	34	124	0.78	0.78	1.70E-05	0.025	GO:0005215	transporter activity
H2O2	edgewise	depleted	19	35	153	1	-1	2.30E-10	0	GO:0005886	plasma membrane
H2O2	edgewise	depleted	8	20	98	0.98	-0.98	3.10E-05	0.029	GO:0055085	transmembrane transport
H2O2	edgewise	depleted	8	20	105	0.94	-0.94	5.20E-05	0.048	GO:0022857	transmembrane transporter activity
NaCl	edgewise	enhanced	20	45	153	0.86	0.86	7.20E-09	1.00E-04	GO:0005886	plasma membrane
NaCl	edgewise	depleted	11	34	106	0.8	-0.8	2.20E-05	0.022	GO:0022892	substrate-specific transporter activity
NaCl	edgewise	depleted	10	34	94	0.8	-0.8	4.60E-05	0.042	GO:0022891	substrate-specific transmembrane transporter activity
menadione	edgewise	depleted	6	9	94	1.4	-1.4	6.20E-06	0.0019	GO:0022891	substrate-specific transmembrane transporter activity
menadione	edgewise	depleted	6	9	98	1.4	-1.4	8.00E-06	0.0024	GO:0055085	transmembrane transport
menadione	edgewise	depleted	6	9	105	1.4	-1.4	1.20E-05	0.0038	GO:0022857	transmembrane transporter activity
menadione	edgewise	depleted	6	9	106	1.4	-1.4	1.30E-05	0.0039	GO:0022892	substrate-specific transporter activity
menadione	edgewise	depleted	6	9	124	1.3	-1.3	3.20E-05	0.012	GO:0005215	transporter activity
ethanol	edgewise	enhanced	11	197	18	0.98	0.98	5.20E-06	0.013	GO:0005741	mitochondrial outer membrane
ethanol	edgewise	enhanced	12	197	23	0.83	0.83	1.70E-05	0.038	GO:0019867	outer membrane
ethanol	edgewise	enhanced	12	197	23	0.83	0.83	1.70E-05	0.038	GO:0031968	organelle outer membrane
ethanol	edgewise	enhanced	12	197	23	0.83	0.83	1.70E-05	0.038	GO:0044429	mitochondrial part
ethanol	edgewise	depleted	25	111	98	0.68	-0.68	3.90E-08	2.00E-04	GO:0055085	transmembrane transport
ethanol	edgewise	depleted	34	178	105	0.57	-0.57	4.90E-08	2.00E-04	GO:0022857	transmembrane transporter activity
ethanol	edgewise	depleted	29	176	94	0.54	-0.54	1.40E-06	0.0043	GO:0022891	substrate-specific transmembrane transporter activity
ethanol	edgewise	depleted	35	178	124	0.49	-0.49	1.40E-06	0.0043	GO:0005215	transporter activity
ethanol	edgewise	depleted	30	176	106	0.48	-0.48	6.80E-06	0.017	GO:0022892	substrate-specific transporter activity
ethanol	edgewise	depleted	85	119	664	0.46	-0.46	8.00E-08	3.00E-04	GO:0044425	membrane part
ethanol	edgewise	depleted	74	121	519	0.45	-0.45	4.10E-08	2.00E-04	GO:0016021	integral component of membrane
ethanol	edgewise	depleted	114	149	773	0.44	-0.44	4.70E-08	2.00E-04	GO:0016020	membrane
ethanol	edgewise	depleted	67	179	321	0.35	-0.35	3.70E-06	0.0098	GO:0044765	single-organism transport
AA-mixture	edgewise	enhanced	50	76	519	0.53	0.53	3.30E-07	6.00E-04	GO:0016021	integral component of membrane
AA-mixture	edgewise	enhanced	56	76	664	0.5	0.5	3.40E-06	0.007	GO:0044425	membrane part
AA-mixture	edgewise	depleted	3	9	5	2.5	-2.5	1.90E-06	0.0044	GO:0005342	organic acid transmembrane transporter activity
AA-mixture	edgewise	depleted	3	9	7	2.2	-2.2	6.70E-06	0.014	GO:0015849	organic acid transport
AA-mixture	edgewise	depleted	3	16	6	2	-2	2.50E-05	0.048	GO:0008514	organic anion transmembrane transporter activity
AA-mixture	edgewise	depleted	7	111	12	1.2	-1.2	1.10E-05	0.022	GO:0046394	carboxylic acid biosynthetic process
AA-mixture	edgewise	depleted	7	111	12	1.2	-1.2	1.10E-05	0.022	GO:0016053	organic acid biosynthetic process
AA-mixture	edgewise	depleted	9	111	22	0.93	-0.93	2.20E-05	0.042	GO:0016491	oxidoreductase activity
AA-mixture	edgewise	depleted	51	78	571	0.45	-0.45	1.10E-05	0.023	GO:0044763	single-organism cellular process
methionine	edgewise	depleted	3	10	5	2.4	-2.4	2.80E-06	0.0053	GO:0005342	organic acid transmembrane transporter activity
methionine	edgewise	depleted	3	10	7	2.1	-2.1	9.60E-06	0.015	GO:0015849	organic acid transport
methionine	edgewise	depleted	4	49	6	1.7	-1.7	2.00E-05	0.029	GO:0008514	organic anion transmembrane transporter activity
methionine	edgewise	depleted	6	16	61	1.2	-1.2	3.40E-05	0.045	GO:0032553	ribonucleotide binding
methionine	edgewise	depleted	6	16	62	1.2	-1.2	3.70E-05	0.049	GO:0097367	carbohydrate derivative binding
methionine	edgewise	depleted	13	50	94	0.74	-0.74	1.40E-05	0.019	GO:0022891	substrate-specific transmembrane transporter activity
